Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Par,4,4,5,3,4,4,4,3,5,4,3,5,4,5,4,4,3,4
Player01,4,4,6,3,4,5,4,6,6,6,3,5,4,6,4,4,3,6
Player02,4,5,6,4,5,4,5,4,8,9,4,5,5,6,5,4,4,5
Player03,4,5,5,4,6,5,5,5,7,6,3,6,4,6,5,5,4,5
Player04,5,6,4,3,5,4,4,4,6,5,2,7,4,7,5,7,4,6
Player05,4,3,4,4,4,5,4,4,5,5,4,5,5,5,5,4,5,4
Player06,3,4,4,3,3,4,4,4,5,5,4,5,3,5,3,4,3,6
Player07,6,4,6,4,5,5,5,3,6,4,4,5,4,5,5,5,3,4
Player08,4,6,5,3,4,6,4,3,4,4,2,5,4,5,4,4,3,4
Player09,5,5,8,4,5,4,4,3,5,5,4,5,3,6,6,5,4,5
Player10,5,4,5,3,4,4,4,2,5,5,3,6,4,5,4,6,5,5
Player11,4,6,5,3,5,4,4,3,5,4,2,4,4,5,5,6,3,4
Player12,4,5,5,3,4,5,4,5,4,4,3,6,4,6,4,4,4,4
Player13,6,6,6,3,5,4,6,4,5,5,3,5,3,6,5,4,4,6
Player14,4,6,5,3,5,4,4,4,5,4,4,6,4,6,7,4,4,5
Player15,5,4,5,4,6,6,4,3,5,5,4,5,4,5,5,4,4,5
Player16,5,4,5,3,5,4,5,4,7,8,3,5,4,5,5,4,4,4
Player17,6,4,5,3,5,6,4,3,5,4,3,5,5,9,5,3,3,4
Player18,5,6,5,4,5,6,4,4,5,5,2,5,4,6,7,5,3,7
Player19,4,4,6,4,4,6,4,3,6,7,3,5,4,5,4,4,4,5
Player20,5,4,6,3,4,4,4,3,5,5,3,5,5,6,5,6,4,5
Player21,4,4,7,2,4,5,4,3,5,6,3,7,4,5,4,4,5,4
Player22,6,4,7,4,5,6,5,4,5,5,4,7,4,4,5,5,4,5
Player23,5,4,7,3,5,5,6,4,5,6,3,5,4,6,4,4,3,6
Player24,6,4,6,4,4,4,4,3,5,4,5,5,3,6,5,3,5,5